rental_id,bike_id,startstationid,endstationid,start_date,end_date
90762611,13221,186,47,2019-09-01 00:32:00+00,2019-09-01 00:39:00+00
90762612,16800,69,227,2019-09-01 00:32:00+00,2019-09-01 00:43:00+00
90762613,8797,37,729,2019-09-01 00:28:00+00,2019-09-01 00:38:00+00
90762614,12608,213,584,2019-09-01 00:26:00+00,2019-09-01 00:49:00+00
90762615,14219,721,531,2019-09-01 00:33:00+00,2019-09-01 00:38:00+00
90762616,15046,587,511,2019-09-01 00:33:00+00,2019-09-01 00:54:00+00
90762617,7782,651,632,2019-09-01 00:33:00+00,2019-09-01 01:11:00+00
90762618,7191,832,320,2019-09-01 00:33:00+00,2019-09-01 01:08:00+00
90762619,14754,260,148,2019-09-01 00:33:00+00,2019-09-01 00:51:00+00
90762620,9996,329,545,2019-09-01 00:33:00+00,2019-09-01 00:43:00+00
90762621,11034,228,139,2019-09-01 00:33:00+00,2019-09-01 00:45:00+00
90762622,13925,686,633,2019-09-01 00:33:00+00,2019-09-01 00:38:00+00
90762623,8419,329,545,2019-09-01 00:34:00+00,2019-09-01 00:43:00+00
90762624,1315,686,633,2019-09-01 00:34:00+00,2019-09-01 00:39:00+00
90762625,5987,226,488,2019-09-01 00:34:00+00,2019-09-01 00:52:00+00
90762626,7606,607,691,2019-09-01 00:34:00+00,2019-09-01 00:41:00+00
90762627,15611,448,469,2019-09-01 00:34:00+00,2019-09-01 00:40:00+00
90762628,14708,596,711,2019-09-01 00:35:00+00,2019-09-01 00:43:00+00
90762629,9507,832,320,2019-09-01 00:35:00+00,2019-09-01 01:08:00+00
90762630,4915,718,479,2019-09-01 00:35:00+00,2019-09-01 00:59:00+00
90762631,3374,380,222,2019-09-01 00:35:00+00,2019-09-01 01:01:00+00
90762632,13454,264,58,2019-09-01 00:35:00+00,2019-09-01 00:47:00+00
90762633,2903,510,480,2019-09-01 00:35:00+00,2019-09-01 01:30:00+00
90762634,4876,380,222,2019-09-01 00:35:00+00,2019-09-01 01:02:00+00
90762635,3820,361,620,2019-09-01 00:36:00+00,2019-09-01 00:56:00+00
90762636,10949,347,750,2019-09-01 00:36:00+00,2019-09-01 00:54:00+00
90762637,5875,380,222,2019-09-01 00:36:00+00,2019-09-01 01:02:00+00
90762639,9543,155,613,2019-09-01 00:36:00+00,2019-09-01 00:47:00+00
90762641,5990,479,500,2019-09-01 00:37:00+00,2019-09-01 00:44:00+00
90762642,2262,394,7,2019-09-01 00:37:00+00,2019-09-01 00:44:00+00
